solution,scenario,product,mode,from,to,X
POS18,s4,die,pip,Amj,Ctw,71780
POS18,s4,pet,pip,Amj,Ctw,36000
POS19,s4,die,pip,Amj,Ctw,66280
POS19,s4,pet,pip,Amj,Ctw,36000
POS20,s4,die,trk,Amj,Brt,7280
POS20,s4,die,pip,Amj,Ctw,48880
POS20,s4,pet,pip,Amj,Ctw,36000
POS1,s5,die,pip,Amj,Ctw,59730
POS1,s5,pet,pip,Amj,Ctw,30720
POS2,s5,die,pip,Amj,Ctw,59730
POS2,s5,pet,pip,Amj,Ctw,30720
POS3,s5,die,pip,Amj,Ctw,59730
POS3,s5,pet,pip,Amj,Ctw,30720
POS4,s5,die,pip,Amj,Ctw,59730
POS4,s5,pet,pip,Amj,Ctw,30720
POS5,s5,die,pip,Amj,Ctw,59730
POS5,s5,pet,pip,Amj,Ctw,33920
POS6,s5,die,pip,Amj,Ctw,59730
POS6,s5,pet,pip,Amj,Ctw,33920
POS7,s5,die,pip,Amj,Ctw,59730
POS7,s5,pet,pip,Amj,Ctw,33920
POS8,s5,die,pip,Amj,Ctw,59730
POS8,s5,pet,pip,Amj,Ctw,33920
POS9,s5,die,pip,Amj,Ctw,59730
POS9,s5,pet,pip,Amj,Ctw,33920
POS10,s5,die,pip,Amj,Ctw,59730
POS10,s5,pet,pip,Amj,Ctw,35840
POS11,s5,die,pip,Amj,Ctw,59730
POS11,s5,pet,pip,Amj,Ctw,35840
POS12,s5,die,pip,Amj,Ctw,59730
POS12,s5,pet,pip,Amj,Ctw,35840
POS13,s5,die,pip,Amj,Ctw,57420
POS13,s5,pet,pip,Amj,Ctw,35840
POS14,s5,die,pip,Amj,Ctw,57420
POS14,s5,pet,pip,Amj,Ctw,36000
POS15,s5,die,pip,Amj,Ctw,57420
POS15,s5,pet,pip,Amj,Ctw,36000
POS16,s5,die,pip,Amj,Ctw,57420
POS16,s5,pet,pip,Amj,Ctw,36000
POS17,s5,die,pip,Amj,Ctw,57420
POS17,s5,pet,pip,Amj,Ctw,36000
POS18,s5,die,pip,Amj,Ctw,71660
POS18,s5,pet,pip,Amj,Ctw,36000
POS19,s5,die,pip,Amj,Ctw,66810
POS19,s5,pet,pip,Amj,Ctw,36000
POS20,s5,die,trk,Amj,Brt,10360
POS20,s5,die,pip,Amj,Ctw,47060
POS20,s5,pet,pip,Amj,Ctw,36000
POS1,s6,die,trk,Amj,Srl,1260
POS1,s6,die,pip,Amj,Ctw,57420
POS1,s6,pet,trk,Amj,Srl,10
POS1,s6,pet,pip,Amj,Ctw,29280
POS2,s6,die,trk,Amj,Srl,1260
POS2,s6,die,pip,Amj,Ctw,57420
POS2,s6,pet,pip,Amj,Ctw,29290
POS3,s6,die,trk,Amj,Srl,1260
POS3,s6,die,pip,Amj,Ctw,57420
POS3,s6,pet,pip,Amj,Ctw,29290
POS4,s6,die,trk,Amj,Srl,1260
POS4,s6,die,pip,Amj,Ctw,57420
POS4,s6,pet,pip,Amj,Ctw,29290
POS5,s6,die,pip,Amj,Ctw,58680
POS5,s6,pet,pip,Amj,Ctw,29290
POS6,s6,die,pip,Amj,Ctw,58680
POS6,s6,pet,pip,Amj,Ctw,32330
POS7,s6,die,pip,Amj,Ctw,58680
POS7,s6,pet,pip,Amj,Ctw,32330
POS8,s6,die,pip,Amj,Ctw,58680
POS8,s6,pet,pip,Amj,Ctw,32330
POS9,s6,die,pip,Amj,Ctw,58680
POS9,s6,pet,pip,Amj,Ctw,32330
POS10,s6,die,pip,Amj,Ctw,58680
POS10,s6,pet,pip,Amj,Ctw,32330
POS11,s6,die,pip,Amj,Ctw,58680
POS11,s6,pet,pip,Amj,Ctw,34160
POS12,s6,die,pip,Amj,Ctw,58680
POS12,s6,pet,pip,Amj,Ctw,34160
POS13,s6,die,pip,Amj,Ctw,58680
POS13,s6,pet,pip,Amj,Ctw,34160
POS14,s6,die,pip,Amj,Ctw,58680
POS14,s6,pet,pip,Amj,Ctw,34304
POS15,s6,die,pip,Amj,Ctw,58680
POS15,s6,pet,pip,Amj,Ctw,36000
POS16,s6,die,pip,Amj,Ctw,58680
POS16,s6,pet,pip,Amj,Ctw,36000
POS17,s6,die,pip,Amj,Ctw,58680
POS17,s6,pet,pip,Amj,Ctw,36000
POS18,s6,die,pip,Amj,Ctw,58680
POS18,s6,pet,pip,Amj,Ctw,36000
POS19,s6,die,pip,Amj,Ctw,64640
POS19,s6,pet,pip,Amj,Ctw,36000
POS20,s6,die,trk,Amj,Brt,13440
POS20,s6,die,pip,Amj,Ctw,45240
POS20,s6,pet,pip,Amj,Ctw,36000
POS1,s7,die,pip,Amj,Ctw,59400
POS1,s7,pet,pip,Amj,Ctw,30240
POS2,s7,die,pip,Amj,Ctw,59400
POS2,s7,pet,pip,Amj,Ctw,30240
POS3,s7,die,pip,Amj,Ctw,59400
POS3,s7,pet,pip,Amj,Ctw,30240
POS4,s7,die,pip,Amj,Ctw,59400
POS4,s7,pet,pip,Amj,Ctw,30240
POS5,s7,die,pip,Amj,Ctw,59400
POS5,s7,pet,pip,Amj,Ctw,30240
POS6,s7,die,pip,Amj,Ctw,59400
POS6,s7,pet,pip,Amj,Ctw,33390
POS7,s7,die,pip,Amj,Ctw,59400
POS7,s7,pet,pip,Amj,Ctw,33390
POS8,s7,die,pip,Amj,Ctw,59400
POS8,s7,pet,pip,Amj,Ctw,33390
POS9,s7,die,pip,Amj,Ctw,59400
POS9,s7,pet,pip,Amj,Ctw,33390
POS10,s7,die,pip,Amj,Ctw,59400
POS10,s7,pet,pip,Amj,Ctw,33390
POS11,s7,die,pip,Amj,Ctw,59400
POS11,s7,pet,pip,Amj,Ctw,35280
POS12,s7,die,pip,Amj,Ctw,59400
POS12,s7,pet,pip,Amj,Ctw,35280
POS13,s7,die,pip,Amj,Ctw,57600
POS13,s7,pet,pip,Amj,Ctw,35280
POS14,s7,die,pip,Amj,Ctw,57600
POS14,s7,pet,pip,Amj,Ctw,35280
POS15,s7,die,pip,Amj,Ctw,57600
POS15,s7,pet,pip,Amj,Ctw,36000
POS16,s7,die,pip,Amj,Ctw,57600
POS16,s7,pet,pip,Amj,Ctw,36000
POS17,s7,die,pip,Amj,Ctw,57600
POS17,s7,pet,pip,Amj,Ctw,36000
POS18,s7,die,pip,Amj,Ctw,57600
POS18,s7,pet,pip,Amj,Ctw,36000
POS19,s7,die,pip,Amj,Ctw,66100
POS19,s7,pet,pip,Amj,Ctw,36000
POS20,s7,die,trk,Amj,Brt,10800
POS20,s7,die,pip,Amj,Ctw,46800
POS20,s7,pet,pip,Amj,Ctw,36000
POS1,s8,die,trk,Amj,Srl,1260
POS1,s8,die,pip,Amj,Ctw,57420
POS1,s8,pet,trk,Amj,Srl,10
POS1,s8,pet,pip,Amj,Ctw,29280
POS2,s8,die,trk,Amj,Srl,1260
POS2,s8,die,pip,Amj,Ctw,57420
POS2,s8,pet,pip,Amj,Ctw,29290
POS3,s8,die,trk,Amj,Srl,1260
POS3,s8,die,pip,Amj,Ctw,57420
POS3,s8,pet,pip,Amj,Ctw,29290
POS4,s8,die,trk,Amj,Srl,1260
POS4,s8,die,pip,Amj,Ctw,57420
POS4,s8,pet,pip,Amj,Ctw,29290
POS5,s8,die,pip,Amj,Ctw,58680
POS5,s8,pet,pip,Amj,Ctw,32078
POS6,s8,die,pip,Amj,Ctw,58680
POS6,s8,pet,pip,Amj,Ctw,32330
POS7,s8,die,pip,Amj,Ctw,58680
POS7,s8,pet,pip,Amj,Ctw,32330
POS8,s8,die,pip,Amj,Ctw,58680
POS8,s8,pet,pip,Amj,Ctw,32330
POS9,s8,die,pip,Amj,Ctw,58680
POS9,s8,pet,pip,Amj,Ctw,32330
POS10,s8,die,pip,Amj,Ctw,58680
POS10,s8,pet,pip,Amj,Ctw,32330
POS11,s8,die,pip,Amj,Ctw,58680
POS11,s8,pet,pip,Amj,Ctw,34160
POS12,s8,die,pip,Amj,Ctw,58680
POS12,s8,pet,pip,Amj,Ctw,34160
POS13,s8,die,pip,Amj,Ctw,58680
POS13,s8,pet,pip,Amj,Ctw,34160
POS14,s8,die,pip,Amj,Ctw,58680
POS14,s8,pet,pip,Amj,Ctw,36000
POS15,s8,die,pip,Amj,Ctw,58680
POS15,s8,pet,pip,Amj,Ctw,36000
POS16,s8,die,pip,Amj,Ctw,58680
POS16,s8,pet,pip,Amj,Ctw,36000
POS17,s8,die,pip,Amj,Ctw,58680
POS17,s8,pet,pip,Amj,Ctw,36000
POS18,s8,die,pip,Amj,Ctw,71704
POS18,s8,pet,pip,Amj,Ctw,36000
POS19,s8,die,pip,Amj,Ctw,64640
POS19,s8,pet,pip,Amj,Ctw,36000
POS20,s8,die,trk,Amj,Brt,13440
POS20,s8,die,pip,Amj,Ctw,45240
POS20,s8,pet,pip,Amj,Ctw,36000
POS1,s9,die,trk,Amj,Srl,4830
POS1,s9,die,pip,Amj,Ctw,55110
POS1,s9,pet,trk,Amj,Srl,1190
POS1,s9,pet,pip,Amj,Ctw,28320
POS2,s9,die,trk,Amj,Srl,4830
POS2,s9,die,pip,Amj,Ctw,55110
POS2,s9,pet,pip,Amj,Ctw,29510
POS3,s9,die,trk,Amj,Srl,4830
POS3,s9,die,pip,Amj,Ctw,55110
POS3,s9,pet,pip,Amj,Ctw,29510
POS4,s9,die,trk,Amj,Srl,4830
POS4,s9,die,pip,Amj,Ctw,55110
POS4,s9,pet,pip,Amj,Ctw,29510
POS5,s9,die,pip,Amj,Ctw,59940
POS5,s9,pet,pip,Amj,Ctw,29510
POS6,s9,die,pip,Amj,Ctw,59940
POS6,s9,pet,pip,Amj,Ctw,31270
POS7,s9,die,pip,Amj,Ctw,59940
POS7,s9,pet,pip,Amj,Ctw,31270
POS8,s9,die,pip,Amj,Ctw,59940
POS8,s9,pet,pip,Amj,Ctw,31270
POS9,s9,die,pip,Amj,Ctw,59940
POS9,s9,pet,pip,Amj,Ctw,31270
POS10,s9,die,pip,Amj,Ctw,59940
POS10,s9,pet,pip,Amj,Ctw,31270
POS11,s9,die,pip,Amj,Ctw,59940
POS11,s9,pet,pip,Amj,Ctw,33040
POS12,s9,die,pip,Amj,Ctw,59940
POS12,s9,pet,pip,Amj,Ctw,33040
POS13,s9,die,pip,Amj,Ctw,59940
POS13,s9,pet,pip,Amj,Ctw,33040
POS14,s9,die,pip,Amj,Ctw,59940
POS14,s9,pet,pip,Amj,Ctw,33040
POS15,s9,die,pip,Amj,Ctw,59940
POS15,s9,pet,pip,Amj,Ctw,36000
POS16,s9,die,pip,Amj,Ctw,59940
POS16,s9,pet,pip,Amj,Ctw,36000
POS17,s9,die,pip,Amj,Ctw,59940
POS17,s9,pet,pip,Amj,Ctw,36000
POS18,s9,die,pip,Amj,Ctw,75020
POS18,s9,pet,pip,Amj,Ctw,36000
POS19,s9,die,pip,Amj,Ctw,66670
POS19,s9,pet,pip,Amj,Ctw,36000
POS20,s9,die,trk,Amj,Brt,13450
POS20,s9,die,pip,Amj,Ctw,46490
POS20,s9,pet,pip,Amj,Ctw,36000
POS1,s1,die,trk,Bnt,Dhn,9750
POS1,s1,pet,trk,Bnt,Dhn,2070
POS2,s1,die,trk,Bnt,Dhn,9750
POS2,s1,pet,trk,Bnt,Dhn,2070
POS3,s1,die,trk,Bnt,Dhn,9750
POS3,s1,pet,trk,Bnt,Dhn,2070
POS4,s1,die,trk,Bnt,Dhn,9750
POS4,s1,pet,trk,Bnt,Dhn,2070
POS5,s1,die,trk,Bnt,Dhn,9750
POS5,s1,pet,trk,Bnt,Dhn,2070
POS6,s1,die,trk,Bnt,Dhn,9750
POS6,s1,pet,trk,Bnt,Dhn,2070
POS7,s1,die,trk,Bnt,Dhn,9750
POS7,s1,pet,trk,Bnt,Dhn,2070
POS8,s1,die,trk,Bnt,Dhn,9750
POS8,s1,pet,trk,Bnt,Dhn,2070
POS9,s1,die,trk,Bnt,Dhn,9750
POS9,s1,pet,trk,Bnt,Dhn,2070
POS10,s1,pet,trk,Bnt,Dhn,2070
POS1,s2,die,trk,Bnt,Dhn,9400
POS1,s2,pet,trk,Bnt,Dhn,1980
POS2,s2,die,trk,Bnt,Dhn,9400
POS2,s2,pet,trk,Bnt,Dhn,1980
POS3,s2,die,trk,Bnt,Dhn,9400
POS3,s2,pet,trk,Bnt,Dhn,1980
POS4,s2,die,trk,Bnt,Dhn,9400
POS4,s2,pet,trk,Bnt,Dhn,1980
POS5,s2,die,trk,Bnt,Dhn,9400
POS5,s2,pet,trk,Bnt,Dhn,1980
POS6,s2,die,trk,Bnt,Dhn,9400
POS6,s2,pet,trk,Bnt,Dhn,1980
POS7,s2,die,trk,Bnt,Dhn,300
POS7,s2,pet,trk,Bnt,Dhn,1980
POS8,s2,die,trk,Bnt,Dhn,9400
POS8,s2,pet,trk,Bnt,Dhn,1980
POS9,s2,die,trk,Bnt,Dhn,300
POS9,s2,pet,trk,Bnt,Dhn,1980
POS10,s2,pet,trk,Bnt,Dhn,1980
POS1,s3,die,trk,Bnt,Dhn,9000
POS1,s3,pet,trk,Bnt,Dhn,1890
POS2,s3,die,trk,Bnt,Dhn,9000
POS2,s3,pet,trk,Bnt,Dhn,1890
POS3,s3,die,trk,Bnt,Dhn,9000
POS3,s3,pet,trk,Bnt,Dhn,1890
POS4,s3,die,trk,Bnt,Dhn,9000
POS4,s3,pet,trk,Bnt,Dhn,1890
POS5,s3,die,trk,Bnt,Dhn,9000
POS5,s3,pet,trk,Bnt,Dhn,1890
POS6,s3,die,trk,Bnt,Dhn,9000
POS6,s3,pet,trk,Bnt,Dhn,1890
POS7,s3,pet,trk,Bnt,Dhn,1890
POS8,s3,pet,trk,Bnt,Dhn,1890
POS9,s3,pet,trk,Bnt,Dhn,1890
POS10,s3,pet,trk,Bnt,Dhn,1890
POS1,s4,die,trk,Bnt,Dhn,9400
POS1,s4,pet,trk,Bnt,Dhn,1980
POS2,s4,die,trk,Bnt,Dhn,9400
POS2,s4,pet,trk,Bnt,Dhn,1980
POS3,s4,die,trk,Bnt,Dhn,9400
POS3,s4,pet,trk,Bnt,Dhn,1980
POS4,s4,die,trk,Bnt,Dhn,9400
POS4,s4,pet,trk,Bnt,Dhn,1980
POS5,s4,die,trk,Bnt,Dhn,9400
POS5,s4,pet,trk,Bnt,Dhn,1980
POS6,s4,die,trk,Bnt,Dhn,9400
POS6,s4,pet,trk,Bnt,Dhn,1980
POS7,s4,die,trk,Bnt,Dhn,7541
POS7,s4,pet,trk,Bnt,Dhn,1980
POS8,s4,die,trk,Bnt,Dhn,3037
POS8,s4,pet,trk,Bnt,Dhn,1980
POS9,s4,die,trk,Bnt,Dhn,300
POS9,s4,pet,trk,Bnt,Dhn,1980
POS10,s4,pet,trk,Bnt,Dhn,1490
POS1,s5,die,trk,Bnt,Dhn,9050
POS1,s5,pet,trk,Bnt,Dhn,1920
POS2,s5,die,trk,Bnt,Dhn,9050
POS2,s5,pet,trk,Bnt,Dhn,1920
POS3,s5,die,trk,Bnt,Dhn,9050
POS3,s5,pet,trk,Bnt,Dhn,1920
POS4,s5,die,trk,Bnt,Dhn,9050
POS4,s5,pet,trk,Bnt,Dhn,1920
POS5,s5,die,trk,Bnt,Dhn,9050
POS5,s5,pet,trk,Bnt,Dhn,1920
POS6,s5,die,trk,Bnt,Dhn,5922
POS6,s5,pet,trk,Bnt,Dhn,1920
POS7,s5,die,trk,Bnt,Dhn,9050
POS7,s5,pet,trk,Bnt,Dhn,1920
POS8,s5,pet,trk,Bnt,Dhn,1920
POS9,s5,pet,trk,Bnt,Dhn,1920
POS1,s6,die,trk,Bnt,Dhn,8700
POS1,s6,pet,trk,Bnt,Dhn,1830
POS2,s6,die,trk,Bnt,Dhn,8700
POS2,s6,pet,trk,Bnt,Dhn,1830
POS3,s6,die,trk,Bnt,Dhn,8700
POS3,s6,pet,trk,Bnt,Dhn,1830
POS4,s6,die,trk,Bnt,Dhn,8700
POS4,s6,pet,trk,Bnt,Dhn,1830
POS5,s6,die,trk,Bnt,Dhn,8700
POS5,s6,pet,trk,Bnt,Dhn,1830
POS6,s6,die,trk,Bnt,Dhn,8700
POS6,s6,pet,trk,Bnt,Dhn,1830
POS7,s6,pet,trk,Bnt,Dhn,1830
POS8,s6,pet,trk,Bnt,Dhn,1830
POS9,s6,pet,trk,Bnt,Dhn,1830
POS10,s6,pet,trk,Bnt,Dhn,1830
POS1,s7,die,trk,Bnt,Dhn,9000
POS1,s7,pet,trk,Bnt,Dhn,1890
POS2,s7,die,trk,Bnt,Dhn,9000
POS2,s7,pet,trk,Bnt,Dhn,1890
POS3,s7,die,trk,Bnt,Dhn,9000
POS3,s7,pet,trk,Bnt,Dhn,1890
POS4,s7,die,trk,Bnt,Dhn,9000
POS4,s7,pet,trk,Bnt,Dhn,1890
POS5,s7,die,trk,Bnt,Dhn,9000
POS5,s7,pet,trk,Bnt,Dhn,1890
POS6,s7,die,trk,Bnt,Dhn,9000
POS6,s7,pet,trk,Bnt,Dhn,1890
POS7,s7,pet,trk,Bnt,Dhn,1890
POS8,s7,pet,trk,Bnt,Dhn,1890
POS9,s7,pet,trk,Bnt,Dhn,1890
POS10,s7,pet,trk,Bnt,Dhn,1890
POS1,s8,die,trk,Bnt,Dhn,8700
POS1,s8,pet,trk,Bnt,Dhn,1830
POS2,s8,die,trk,Bnt,Dhn,8700
POS2,s8,pet,trk,Bnt,Dhn,1830
POS3,s8,die,trk,Bnt,Dhn,8700
POS3,s8,pet,trk,Bnt,Dhn,1830
POS4,s8,die,trk,Bnt,Dhn,8700
POS4,s8,pet,trk,Bnt,Dhn,1830
POS5,s8,die,trk,Bnt,Dhn,8700
POS5,s8,pet,trk,Bnt,Dhn,1830
POS6,s8,die,trk,Bnt,Dhn,8700
POS6,s8,pet,trk,Bnt,Dhn,1830
POS7,s8,pet,trk,Bnt,Dhn,1830
POS8,s8,pet,trk,Bnt,Dhn,1830
POS9,s8,pet,trk,Bnt,Dhn,1830
POS10,s8,pet,trk,Bnt,Dhn,1830
POS1,s9,die,trk,Bnt,Dhn,8350
POS1,s9,pet,trk,Bnt,Dhn,1770
POS2,s9,die,trk,Bnt,Dhn,8350
POS2,s9,pet,trk,Bnt,Dhn,1770
POS3,s9,die,trk,Bnt,Dhn,8350
POS3,s9,pet,trk,Bnt,Dhn,1770
POS4,s9,die,trk,Bnt,Dhn,8350
POS4,s9,pet,trk,Bnt,Dhn,1770
POS5,s9,die,trk,Bnt,Dhn,8350
POS5,s9,pet,trk,Bnt,Dhn,1770
POS6,s9,pet,trk,Bnt,Dhn,1770
POS7,s9,pet,trk,Bnt,Dhn,1770
POS8,s9,pet,trk,Bnt,Dhn,1770
POS9,s9,pet,trk,Bnt,Dhn,1770
POS10,s9,pet,trk,Bnt,Dhn,1770
POS1,s1,die,trk,Btl,Bhw,25100
POS1,s1,pet,trk,Btl,Bhw,6700
POS2,s1,die,trk,Btl,Bhw,25100
POS2,s1,pet,trk,Btl,Bhw,6700
POS3,s1,die,trk,Btl,Bhw,25100
POS3,s1,pet,trk,Btl,Bhw,6700
POS4,s1,die,trk,Btl,Bhw,25100
POS4,s1,pet,trk,Btl,Bhw,6700
POS5,s1,die,trk,Btl,Bhw,25100
POS5,s1,pet,trk,Btl,Bhw,6700
POS6,s1,die,trk,Btl,Bhw,25100
POS6,s1,pet,trk,Btl,Bhw,6700
POS7,s1,die,trk,Btl,Bhw,25100
POS7,s1,pet,trk,Btl,Bhw,6700
POS8,s1,die,trk,Btl,Bhw,25100
POS8,s1,pet,trk,Btl,Bhw,6700
POS9,s1,die,trk,Btl,Bhw,25100
POS9,s1,pet,trk,Btl,Bhw,6700
POS10,s1,die,trk,Btl,Bhw,25100
POS10,s1,pet,trk,Btl,Bhw,6700
POS11,s1,die,trk,Btl,Bhw,25100
POS11,s1,pet,trk,Btl,Bhw,6700
POS12,s1,die,trk,Btl,Bhw,25100
POS12,s1,pet,trk,Btl,Bhw,6700
POS13,s1,die,trk,Btl,Bhw,25100
POS13,s1,pet,trk,Btl,Bhw,6700
POS14,s1,die,trk,Btl,Bhw,25100
POS14,s1,pet,trk,Btl,Bhw,6700
